mukey,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r
433322,48.53846153846154,75.84615384615384,88.97692307692306,6.1,4.923076923076923,0.46153846153846156
433326,31.0,61.4,96.0,2.0,2.0,0.45
433327,31.0,61.4,96.0,2.0,2.0,0.45
433328,31.0,61.4,96.0,2.0,2.0,0.45
433329,31.0,61.4,96.0,2.0,2.0,0.45
433344,37.5,56.5,72.4375,18.75,8.8125,0.75
433346,42.9,76.35,65.97999999999999,23.944999999999997,10.075,0.6625
433350,50.0,73.28571428571429,63.528571428571425,20.757142857142856,15.714285714285714,0.5
433351,50.0,73.28571428571429,63.528571428571425,20.757142857142856,15.714285714285714,0.5
433367,23.8,54.2,76.72,16.88,6.4,0.95
433369,23.8,54.2,76.72,16.88,6.4,0.95
433371,23.8,54.2,76.72,16.88,6.4,0.95
433372,39.5,76.75,87.375,6.625,6.0,0.5125
433373,39.5,76.75,87.375,6.625,6.0,0.5125
433379,41.285714285714285,63.0,70.67142857142858,11.185714285714283,18.142857142857142,0.7142857142857143
433386,39.714285714285715,61.42857142857143,25.428571428571427,63.85714285714285,10.714285714285714,0.6785714285714286
433387,39.714285714285715,61.42857142857143,25.428571428571427,63.85714285714285,10.714285714285714,0.6785714285714286
433390,32.333333333333336,98.33333333333333,41.93333333333333,44.73333333333333,13.333333333333334,2.0
433411,27.2,67.8,24.52,39.48,36.0,1.1
433412,27.2,67.8,24.52,39.48,36.0,1.1
433413,27.2,67.8,24.52,39.48,36.0,1.1
433431,49.8,89.8,69.76,17.64,12.6,0.55
433433,71.0,152.0,50.0,40.0,10.0,0.25
433461,45.8,76.2,29.82,31.879999999999995,38.3,2.05
433484,47.166666666666664,72.5,67.48333333333333,22.516666666666666,10.0,0.5
433485,58.42857142857143,87.0,62.88571428571429,28.542857142857144,8.571428571428571,0.7142857142857143
433515,91.33333333333333,142.66666666666666,66.73333333333333,18.933333333333334,14.333333333333334,0.25
433547,47.6,75.0,93.6,1.4,5.0,1.3
433555,56.5,81.71428571428571,68.97142857142858,20.564285714285717,10.464285714285714,0.5714285714285714
433556,56.5,81.71428571428571,68.97142857142858,20.564285714285717,10.464285714285714,0.5714285714285714
433568,25.454545454545453,53.09090909090909,91.28181818181818,5.627272727272727,3.090909090909091,0.7727272727272727
433569,25.454545454545453,53.09090909090909,91.28181818181818,5.627272727272727,3.090909090909091,0.7727272727272727
433570,25.454545454545453,53.09090909090909,91.28181818181818,5.627272727272727,3.090909090909091,0.7727272727272727
433572,50.833333333333336,84.66666666666667,28.258333333333336,39.699999999999996,32.041666666666664,0.75
433573,59.166666666666664,89.66666666666667,42.35,30.983333333333334,26.666666666666668,0.7083333333333334
433582,32.2,62.6,94.47999999999999,3.12,2.4,0.9099999999999999
433596,46.857142857142854,68.57142857142857,66.57142857142857,19.428571428571427,14.0,0.7142857142857143
433597,21.4,51.8,74.82000000000001,18.38,6.8,1.2
433599,40.666666666666664,66.0,68.43333333333334,21.316666666666666,10.25,0.7083333333333334
433600,40.666666666666664,66.0,68.43333333333334,21.316666666666666,10.25,0.7083333333333334
433629,45.8,76.2,29.82,31.879999999999995,38.3,2.05
433651,20.833333333333332,46.166666666666664,87.35000000000001,8.65,4.0,1.0416666666666667
433652,20.833333333333332,46.166666666666664,87.35000000000001,8.65,4.0,1.0416666666666667
433653,20.833333333333332,46.166666666666664,87.35000000000001,8.65,4.0,1.0416666666666667
433663,47.36363636363637,79.63636363636364,22.963636363636365,40.53636363636363,36.5,1.2045454545454546
433676,18.0,37.0,88.35,9.15,2.5,0.75
433679,33.0,52.2,41.8,31.5,26.7,1.55
433686,20.8,37.6,69.85999999999999,21.839999999999996,8.3,0.8
433692,24.0,41.77777777777778,71.99999999999999,18.555555555555554,9.444444444444445,0.8611111111111112
433710,45.0,82.25,91.9,3.0999999999999996,5.0,0.8
433729,47.8,77.2,89.7,6.0,4.3,0.6
433730,47.8,77.2,89.7,6.0,4.3,0.6
433731,47.8,77.2,89.7,6.0,4.3,0.6
433744,46.166666666666664,71.5,59.48333333333334,27.100000000000005,13.416666666666666,0.875
433745,46.166666666666664,71.5,59.48333333333334,27.100000000000005,13.416666666666666,0.875
433756,30.333333333333332,64.16666666666667,90.38333333333333,5.283333333333332,4.333333333333333,0.8333333333333334
433757,30.333333333333332,64.16666666666667,90.38333333333333,5.283333333333332,4.333333333333333,0.8333333333333334
433758,30.333333333333332,64.16666666666667,90.38333333333333,5.283333333333332,4.333333333333333,0.8333333333333334
433772,18.2,48.0,73.8,14.4,11.8,1.8
434642,38.0,88.75,76.275,14.225,9.5,1.0
434700,68.375,93.5,69.375,20.0,10.625,0.46875
434701,68.375,93.5,69.375,20.0,10.625,0.46875
452746,36.53846153846154,65.23076923076923,14.276923076923076,31.300000000000008,54.42307692307692,1.3269230769230769
452748,46.8,87.4,14.88,29.419999999999998,55.7,1.45
452749,46.8,87.4,14.88,29.419999999999998,55.7,1.45
452754,36.833333333333336,70.66666666666667,15.700000000000003,26.88333333333333,57.416666666666664,1.5833333333333333
452765,30.77777777777778,49.888888888888886,56.41111111111112,23.92222222222222,19.666666666666668,1.2777777777777777
782457,36.026315789473685,67.60526315789474,63.60526315789474,30.236842105263158,6.157894736842105,0.881578947368421
782458,37.333333333333336,62.666666666666664,71.78333333333335,19.71666666666667,8.5,0.8333333333333334
782459,37.333333333333336,62.666666666666664,71.78333333333335,19.71666666666667,8.5,0.8333333333333334
782465,20.5,38.25,58.275,33.475,8.25,1.0625
782466,20.5,38.25,58.275,33.475,8.25,1.0625
782467,32.2,62.6,87.2,8.8,4.0,0.9099999999999999
782470,57.6,92.1,76.74,15.76,7.5,3.275
782475,32.2,62.6,94.47999999999999,3.12,2.4,0.9099999999999999
782477,37.1,64.5,54.42999999999999,36.56999999999999,9.0,0.975
782479,45.375,88.125,70.8375,20.037499999999998,9.125,4.53125
782481,61.0,97.18181818181819,24.299999999999997,22.972727272727273,52.72727272727273,1.1590909090909092
782482,59.166666666666664,93.0,28.983333333333334,33.93333333333334,37.083333333333336,1.25
782483,43.10526315789474,69.78947368421052,75.98421052631578,15.884210526315787,8.131578947368421,0.7105263157894737
782484,43.10526315789474,69.78947368421052,75.98421052631579,15.884210526315792,8.131578947368421,0.7105263157894737
782488,31.181818181818183,58.81818181818182,74.02727272727273,18.42727272727273,7.545454545454546,0.8863636363636364
782489,45.76923076923077,73.07692307692308,77.92307692307692,14.115384615384615,7.961538461538462,0.6538461538461539
782490,45.76923076923077,73.07692307692308,77.92307692307692,14.115384615384615,7.961538461538462,0.6538461538461539
782492,36.5,61.833333333333336,71.06666666666668,19.933333333333334,9.0,0.9166666666666666
782494,51.166666666666664,76.5,42.45,45.13333333333333,12.416666666666666,1.4166666666666667
782495,55.473684210526315,87.52631578947368,44.56842105263158,42.142105263157895,8.078947368421053,4.092105263157895
782496,59.75,85.125,41.7875,50.4625,7.75,0.59375
782497,48.166666666666664,82.0,51.86666666666667,38.633333333333326,9.5,0.9166666666666666
782498,48.166666666666664,82.0,51.86666666666667,38.633333333333326,9.5,0.9166666666666666
782505,25.058823529411764,54.88235294117647,85.29411764705883,9.882352941176471,4.823529411764706,0.9411764705882353
782506,25.058823529411764,54.88235294117647,85.29411764705883,9.88235294117647,4.823529411764706,0.9411764705882353
782509,60.421052631578945,92.21052631578948,45.73157894736842,41.61052631578948,7.447368421052632,3.9473684210526314
1015311,60.421052631578945,92.21052631578948,45.73157894736842,41.61052631578947,7.447368421052632,3.9473684210526314
1144328,40.666666666666664,71.75,13.81666666666667,32.89166666666667,53.291666666666664,1.25
1144329,38.90909090909091,75.81818181818181,20.554545454545455,43.99090909090909,35.45454545454545,0.7727272727272727
1146422,54.391304347826086,80.8695652173913,66.43809523809524,29.54285714285714,4.019047619047619,7.441304347826088
1147400,53.55555555555556,106.0,90.80000000000001,3.8666666666666654,5.333333333333333,1.6111111111111112
1147401,39.15,67.05,87.15500000000002,7.6450000000000005,5.2,0.75
1147402,39.15,67.05,87.155,7.6450000000000005,5.2,0.75
1147403,39.15,67.05,87.155,7.644999999999999,5.2,0.75
1147408,74.0,112.0,91.54285714285716,3.457142857142856,5.0,1.6071428571428572
1147409,31.8,67.3,86.09,9.41,4.5,0.7849999999999999
1147411,44.92307692307692,73.84615384615384,82.57692307692308,5.423076923076923,4.3076923076923075,6.576923076923077
1147412,44.92307692307692,73.84615384615384,82.57692307692308,5.423076923076923,4.3076923076923075,6.576923076923077
1147432,47.166666666666664,72.5,63.666666666666664,26.083333333333332,10.25,0.625
1147433,57.4,98.0,40.260000000000005,32.839999999999996,6.9,13.5
1147434,38.142857142857146,59.857142857142854,52.785714285714285,38.5,8.714285714285714,0.7857142857142857
1147435,63.833333333333336,96.83333333333333,55.550000000000004,36.949999999999996,7.5,0.4583333333333333
1147436,53.3125,83.75,82.88749999999999,9.737499999999999,7.375,0.578125
1147437,53.3125,83.75,82.8875,9.737499999999999,7.375,0.578125
1147438,46.8125,74.0625,64.55000000000001,19.856250000000003,9.34375,5.078125
1147440,57.13333333333333,80.8,85.44666666666667,8.286666666666665,6.266666666666667,0.5666666666666667
1147442,56.125,93.5,60.74999999999999,24.625000000000004,8.375,4.640625
1147444,56.125,93.5,60.74999999999999,24.625,8.375,4.640625
1147446,52.666666666666664,81.73333333333333,74.67999999999999,15.886666666666667,9.433333333333334,0.6
1147453,47.827586206896555,80.86206896551724,65.99199999999999,26.56,7.4479999999999995,11.306896551724137
1147454,51.588235294117645,81.44117647058823,65.62758620689655,29.048275862068966,5.324137931034483,11.945588235294117
1147455,51.588235294117645,81.44117647058823,65.62758620689655,29.048275862068973,5.324137931034483,11.945588235294117
1147457,46.857142857142854,85.57142857142857,52.642857142857146,3.0714285714285716,1.4285714285714286,38.621428571428574
1147458,52.166666666666664,95.5,92.61666666666667,4.05,3.3333333333333335,0.975
1380088,47.8,77.2,91.6,4.0,4.4,0.6
1380109,25.058823529411764,54.88235294117647,85.29411764705883,9.882352941176471,4.823529411764706,0.9411764705882353
1380245,51.588235294117645,81.44117647058823,65.62758620689655,29.04827586206897,5.324137931034483,11.945588235294117
1383539,30.333333333333332,64.16666666666667,90.38333333333333,5.283333333333332,4.333333333333333,0.8333333333333334
1383542,34.857142857142854,75.71428571428571,76.92857142857143,17.714285714285715,5.357142857142857,2.692857142857143
1383545,46.333333333333336,93.66666666666667,59.166666666666664,20.166666666666668,20.666666666666668,0.4166666666666667
1383557,30.0,59.4,86.22,10.18,3.6,0.6900000000000001
1383561,38.75,64.125,64.375,16.875,6.25,9.5625
1383580,96.5,152.0,68.05,21.95,10.0,0.5
1383585,52.3,78.95,48.83,42.12,9.05,0.675
1383586,39.5,76.75,79.125,13.0,7.875,0.5125
1383587,39.5,76.75,79.125,13.0,7.875,0.5125
1383588,39.5,76.75,79.125,13.0,7.875,0.5125
1383589,44.63636363636363,79.72727272727273,34.24545454545455,34.845454545454544,30.90909090909091,0.8863636363636364
1383603,59.166666666666664,89.66666666666667,42.35,30.983333333333334,26.666666666666668,0.7083333333333334
